date,close,volume,open,high,low
2018-06-11,6.22,788.0,2.87,6.22,2.87
2018-06-12,8.23,266.0,8.23,8.23,8.23
2018-06-13,10.44,450.0,10.44,10.44,10.44
2018-06-14,12.88,743.0,12.88,12.88,12.88
2018-06-15,15.56,2565.0,15.56,15.56,15.56
2018-06-19,18.5,11174.0,18.5,18.5,18.5
2018-06-20,21.74,13104.0,21.74,21.74,21.74
2018-06-21,25.3,12317.0,25.3,25.3,25.3
2018-06-22,23.08,1281706.0,26.11,26.51,21.38
2018-06-25,24.55,699820.0,24.0,25.89,23.46
2018-06-26,27.32,625535.0,23.83,28.08,23.39
2018-06-27,27.27,441389.0,27.34,27.74,25.98
2018-06-28,24.01,530810.0,26.83,27.99,23.58
2018-06-29,26.09,456986.0,24.27,27.39,23.76
2018-07-02,25.0,324702.0,25.44,25.82,24.51
2018-07-03,24.61,339101.0,25.11,25.66,22.69
2018-07-04,22.73,262822.0,23.97,23.97,22.5
2018-07-05,24.34,343378.0,22.22,26.04,22.15
2018-07-06,25.49,492134.0,24.34,27.5,24.28
2018-07-09,25.86,310690.0,25.44,25.87,24.51
2018-07-10,26.33,364844.0,27.78,28.27,25.92
2018-07-11,28.92,491208.0,25.0,29.97,24.77
2018-07-12,33.21,430852.0,28.35,33.21,28.11
2018-07-13,32.06,482021.0,31.67,35.26,31.13
2018-07-16,32.72,295152.0,32.06,33.19,30.61
2018-07-17,31.82,286153.0,32.28,32.87,30.37
2018-07-18,31.82,271138.0,31.82,32.98,30.62
2018-07-19,32.16,250745.0,31.67,33.42,30.93
2018-07-20,36.63,426956.0,31.94,36.77,31.67
2018-07-23,35.34,250144.0,35.56,36.41,34.75
2018-07-24,37.09,265010.0,35.28,37.76,34.72
2018-07-25,31.99,457193.0,36.67,38.93,31.99
2018-07-26,29.56,392870.0,30.83,32.0,28.67
2018-07-27,28.36,228096.0,29.44,29.8,28.15
2018-07-30,28.81,180418.0,28.61,29.08,27.78
2018-07-31,26.23,281283.0,28.77,28.77,25.28
2018-08-01,25.79,179336.0,26.11,27.02,25.57
2018-08-02,26.42,198535.0,25.22,26.83,25.03
2018-08-03,24.78,172889.0,25.98,26.74,24.26
2018-08-06,24.81,157069.0,24.44,25.6,23.67
2018-08-07,27.11,199649.0,25.27,27.48,25.0
2018-08-08,25.84,147708.0,26.94,26.99,25.62
2018-08-09,27.26,184749.0,25.78,28.14,25.17
2018-08-10,27.47,116739.0,27.0,27.49,26.68
2018-08-13,27.23,109496.0,26.67,27.33,26.13
2018-08-14,25.87,117356.0,27.11,27.16,25.8
2018-08-15,24.51,129167.0,25.54,26.13,24.44
2018-08-16,24.44,107153.0,23.89,24.93,22.89
2018-08-17,23.98,82248.0,24.94,25.28,23.94
2018-08-20,24.42,109229.0,23.82,24.51,22.78
2018-08-21,24.76,102088.0,24.43,25.43,23.9
2018-08-22,23.59,89999.0,24.48,25.14,23.45
2018-08-23,24.5,121931.0,23.69,24.81,23.38
2018-08-24,24.33,133609.0,23.78,25.67,23.72
2018-08-27,25.26,129151.0,24.21,25.54,23.83
2018-08-28,26.67,188140.0,25.34,27.4,25.22
2018-08-29,26.68,103338.0,26.44,26.94,26.01
2018-08-30,24.99,136818.0,26.77,27.22,24.79
2018-08-31,22.5,159012.0,24.16,24.56,22.23
2018-09-03,21.26,159108.0,22.11,22.11,20.0
2018-09-04,21.58,80676.0,21.22,21.81,20.98
2018-09-05,20.22,96893.0,21.44,21.66,20.22
2018-09-06,20.47,88541.0,19.78,20.92,19.62
2018-09-07,21.29,127486.0,20.83,22.15,20.67
2018-09-10,20.19,65451.0,21.42,21.55,20.0
2018-09-11,20.87,66293.0,20.22,21.2,20.22
2018-09-12,21.94,121160.0,21.0,22.36,20.89
2018-09-13,22.11,98520.0,22.58,22.83,21.33
2018-09-14,22.72,158318.0,22.94,24.44,22.7
2018-09-17,21.51,71314.0,21.98,22.49,21.44
2018-09-18,22.98,77892.0,21.11,23.01,21.11
2018-09-19,23.52,95026.0,22.77,24.2,22.47
2018-09-20,23.88,102007.0,23.34,24.94,23.34
2018-09-21,24.55,77482.0,24.24,24.94,23.81
2018-09-25,24.07,42042.0,24.11,24.61,23.73
2018-09-26,26.61,160616.0,24.26,26.94,24.26
2018-09-27,26.42,136947.0,26.25,27.75,25.94
2018-09-28,26.67,119211.0,26.17,27.83,26.17
2018-10-08,24.14,131167.0,26.04,26.04,23.78
2018-10-09,22.17,133894.0,24.39,24.53,21.72
2018-10-10,22.17,71632.0,22.56,22.67,21.44
2018-10-11,19.69,128095.0,20.49,21.37,19.17
2018-10-12,21.03,86003.0,19.69,21.2,19.66
2018-10-15,24.53,198015.0,24.33,24.53,23.82
2018-10-16,24.36,104522.0,25.0,25.2,23.86
2018-10-17,25.0,142322.0,24.87,25.99,24.56
2018-10-18,23.91,108109.0,24.28,25.78,22.51
2018-10-19,27.09,141251.0,23.34,27.37,23.34
2018-10-22,30.06,181064.0,27.27,31.17,27.27
2018-10-23,29.44,127366.0,29.5,30.53,28.39
2018-10-24,28.89,100428.0,29.36,30.26,28.4
2018-10-25,31.06,133722.0,27.78,31.43,27.51
2018-10-26,27.56,176917.0,30.94,30.94,26.67
2018-10-29,25.42,127198.0,27.74,28.0,25.33
2018-10-30,27.78,128876.0,25.36,27.97,24.93
2018-10-31,27.5,97944.0,27.94,29.13,27.33
2018-11-01,27.01,97240.0,27.89,28.79,26.78
2018-11-02,29.71,137059.0,28.41,29.79,28.36
2018-11-05,30.22,130635.0,29.71,31.93,29.33
2018-11-06,31.43,121658.0,30.02,31.89,28.33
2018-11-07,30.02,126587.0,30.67,31.88,29.56
2018-11-08,29.06,80449.0,30.47,30.77,28.83
2018-11-09,29.31,60639.0,28.89,30.03,28.7
